node_id,name,parent,left_child,right_child,length,depth,species_node,event
0,0_152,,1,2,0.000000,0.000000,152,Speciation
1,1_146,0,3,4,0.571433,0.571433,146,Speciation
2,2_151,0,5,6,0.084257,0.084257,151,Speciation
3,3_145,1,7,8,0.071863,0.643296,145,Duplication
4,4_144,1,9,10,0.247587,0.819021,144,Speciation
5,5_149,2,11,12,0.010416,0.094673,149,Duplication
6,6_150,2,13,14,0.129069,0.213326,150,Speciation
7,7_145,3,15,16,0.085846,0.729142,145,Speciation
8,8_145,3,17,18,0.085846,0.729142,145,Speciation
9,9_138,4,19,20,0.741907,1.560928,138,Speciation
10,10_142,4,21,22,0.010612,0.829632,142,Transfer
11,11_149,5,23,24,0.241310,0.335983,149,Speciation
12,12_149,5,25,26,0.241310,0.335983,149,Speciation
13,13_147,6,,,0.323257,0.536583,147,Leaf
14,14_141,6,27,28,0.563031,0.776357,141,Duplication
15,15_140,7,,,0.581588,1.310730,140,Leaf
16,16_143,7,,,0.132345,0.861487,143,Leaf
17,17_140,8,29,30,0.494916,1.224058,140,Duplication
18,18_143,8,,,0.132345,0.861487,143,Leaf
19,19_136,9,31,32,0.288568,1.849496,136,Speciation
20,20_137,9,33,34,0.126246,1.687174,137,Speciation
21,21_142,10,35,36,0.134057,0.963690,142,Transfer
22,22_143,10,,,0.031854,0.861487,143,Leaf
23,23_128,11,37,38,0.484871,0.820854,128,Transfer
24,24_148,11,,,0.001470,0.337453,148,Leaf
25,25_128,12,39,40,0.772443,1.108426,128,Duplication
26,26_148,12,,,0.001470,0.337453,148,Leaf
27,27_141,14,,,0.198457,0.974814,141,Loss
28,28_141,14,,,0.129165,0.905522,141,Loss
29,29_140,17,,,0.086672,1.310730,140,Leaf
30,30_140,17,,,0.086672,1.310730,140,Leaf
31,31_135,19,41,42,0.018385,1.867881,135,Speciation
32,32_130,19,43,44,0.423358,2.272854,130,Speciation
33,33_129,20,45,46,0.902008,2.589181,129,Speciation
34,34_126,20,47,48,0.914499,2.601673,126,Speciation
35,35_142,21,,,0.007302,0.970992,142,Leaf
36,36_140,21,,,0.347040,1.310730,140,Leaf
37,37_128,23,49,50,1.770944,2.591798,128,Speciation
38,38_143,23,,,0.040633,0.861487,143,Leaf
39,39_128,25,51,52,0.179346,1.287772,128,Duplication
40,40_128,25,,,1.141273,2.249699,128,Loss
41,41_133,31,,,0.051313,1.919194,133,Loss
42,42_127,31,53,54,0.731957,2.599838,127,Speciation
43,43_103,32,,,0.132959,2.405812,103,Loss
44,44_75,32,55,56,1.652484,3.925337,75,Speciation
45,45_114,33,57,58,0.233598,2.822779,114,Duplication
46,46_125,33,59,60,0.100369,2.689550,125,Speciation
47,47_115,34,61,62,0.505196,3.106869,115,Speciation
48,48_118,34,,,0.142636,2.744309,118,Loss
49,49_86,37,63,64,0.006178,2.597976,86,Duplication
50,50_100,37,65,66,0.801865,3.393663,100,Speciation
51,51_128,39,,,0.299683,1.587455,128,Loss
52,52_128,39,67,68,1.304026,2.591798,128,Speciation
53,53_124,42,69,70,0.131997,2.731835,124,Speciation
54,54_122,42,71,72,0.155125,2.754963,122,Speciation
55,55_53,44,73,74,0.113105,4.038443,53,Duplication
56,56_44,44,75,76,0.064981,3.990318,44,Transfer
57,57_114,45,,,0.304227,3.127006,114,Leaf
58,58_114,45,,,0.304227,3.127006,114,Leaf
59,59_2,46,77,78,0.473362,3.162912,2,Duplication
60,60_111,46,,,0.584610,3.274160,111,Leaf
61,61_67,47,,,0.602861,3.709730,67,Loss
62,62_106,47,,,0.220073,3.326942,106,Leaf
63,63_86,49,,,1.128717,3.726693,86,Leaf
64,64_86,49,79,80,0.253728,2.851704,86,Duplication
65,65_16,50,81,82,0.188647,3.582310,16,Duplication
66,66_77,50,83,84,0.525271,3.918934,77,Speciation
67,67_86,52,,,0.364571,2.956369,86,Loss
68,68_100,52,85,86,0.475219,3.067016,100,Transfer
69,69_113,53,,,0.037060,2.768895,113,Loss
70,70_66,53,87,88,0.602220,3.334054,66,Duplication
71,71_80,54,89,90,0.662178,3.417141,80,Duplication
72,72_108,54,91,92,0.536745,3.291708,108,Speciation
73,73_53,55,93,94,0.071875,4.110318,53,Duplication
74,74_53,55,95,96,0.244526,4.282968,53,Speciation
75,75_44,56,97,98,0.409743,4.400061,44,Transfer
76,76_48,56,,,0.440204,4.430522,48,Leaf
77,77_2,59,99,100,0.626503,3.789415,2,Transfer
78,78_2,59,,,1.267610,4.430522,2,Leaf
79,79_86,64,101,102,0.221931,3.073635,86,Duplication
80,80_86,64,,,0.874989,3.726693,86,Leaf
81,81_16,65,103,104,0.834790,4.417101,16,Duplication
82,82_16,65,105,106,0.181747,3.764057,16,Duplication
83,83_8,66,,,0.511588,4.430522,8,Leaf
84,84_63,66,107,108,0.204840,4.123774,63,Speciation
85,85_100,68,109,110,0.326647,3.393663,100,Speciation
86,86_102,68,111,112,0.316900,3.383916,102,Speciation
87,87_66,70,113,114,0.722334,4.056389,66,Speciation
88,88_66,70,115,116,0.722334,4.056389,66,Speciation
89,89_80,71,,,0.405898,3.823039,80,Leaf
90,90_80,71,,,0.405898,3.823039,80,Leaf
91,91_71,72,,,0.693164,3.984872,71,Leaf
92,92_104,72,117,118,0.078096,3.369803,104,Speciation
93,93_53,73,119,120,0.172651,4.282968,53,Speciation
94,94_53,73,121,122,0.172651,4.282968,53,Speciation
95,95_12,74,,,0.147554,4.430522,12,Leaf
96,96_0,74,,,0.128165,4.411133,0,Loss
97,97_44,75,,,0.030461,4.430522,44,Leaf
98,98_26,75,,,0.030461,4.430522,26,Leaf
99,99_2,77,,,0.641107,4.430522,2,Leaf
100,100_48,77,,,0.641107,4.430522,48,Leaf
101,101_86,79,123,124,0.522866,3.596501,86,Transfer
102,102_86,79,,,0.653058,3.726693,86,Leaf
103,103_16,81,,,0.013422,4.430522,16,Leaf
104,104_16,81,,,0.013422,4.430522,16,Leaf
105,105_16,82,,,0.666465,4.430522,16,Leaf
106,106_16,82,,,0.666465,4.430522,16,Leaf
107,107_11,84,,,0.306748,4.430522,11,Leaf
108,108_41,84,,,0.306748,4.430522,41,Leaf
109,109_16,85,,,0.244287,3.637950,16,Loss
110,110_77,85,125,126,0.525271,3.918934,77,Speciation
111,111_57,86,127,128,0.817891,4.201807,57,Speciation
112,112_33,86,129,130,0.211636,3.595553,33,Transfer
113,113_61,87,131,132,0.107101,4.163490,61,Speciation
114,114_46,87,,,0.374133,4.430522,46,Leaf
115,115_61,88,133,134,0.107101,4.163490,61,Speciation
116,116_46,88,,,0.374133,4.430522,46,Leaf
117,117_5,92,,,1.060719,4.430522,5,Leaf
118,118_74,92,135,136,0.161744,3.531548,74,Duplication
119,119_12,93,137,138,0.003679,4.286648,12,Duplication
120,120_0,93,,,0.147554,4.430522,0,Leaf
121,121_12,94,,,0.147554,4.430522,12,Leaf
122,122_0,94,,,0.147554,4.430522,0,Leaf
123,123_86,101,,,0.130192,3.726693,86,Leaf
124,124_81,101,,,0.210776,3.807277,81,Leaf
125,125_8,110,139,140,0.463338,4.382273,8,Transfer
126,126_63,110,141,142,0.204840,4.123774,63,Speciation
127,127_28,111,143,144,0.086725,4.288531,28,Duplication
128,128_52,111,145,146,0.113237,4.315044,52,Speciation
129,129_33,112,147,148,0.331947,3.927500,33,Transfer
130,130_5,112,,,0.834970,4.430522,5,Leaf
131,131_38,113,,,0.267033,4.430522,38,Leaf
132,132_51,113,149,150,0.243357,4.406846,51,Speciation
133,133_38,115,,,0.267033,4.430522,38,Leaf
134,134_51,115,151,152,0.243357,4.406846,51,Speciation
135,135_74,118,153,154,0.138637,3.670185,74,Duplication
136,136_74,118,,,0.413455,3.945002,74,Leaf
137,137_12,119,,,0.143875,4.430522,12,Leaf
138,138_12,119,,,0.143875,4.430522,12,Leaf
139,139_8,125,,,0.048250,4.430522,8,Leaf
140,140_12,125,,,0.048250,4.430522,12,Leaf
141,141_11,126,,,0.306748,4.430522,11,Leaf
142,142_41,126,,,0.306748,4.430522,41,Leaf
143,143_28,127,,,0.141991,4.430522,28,Leaf
144,144_28,127,,,0.141991,4.430522,28,Leaf
145,145_27,128,,,0.115478,4.430522,27,Leaf
146,146_21,128,,,0.115478,4.430522,21,Leaf
147,147_33,129,,,0.503022,4.430522,33,Leaf
148,148_57,129,155,156,0.274307,4.201807,57,Speciation
149,149_43,132,,,0.023676,4.430522,43,Leaf
150,150_7,132,,,0.023676,4.430522,7,Leaf
151,151_43,134,,,0.023676,4.430522,43,Leaf
152,152_7,134,,,0.023676,4.430522,7,Leaf
153,153_74,135,157,158,0.060499,3.730684,74,Duplication
154,154_74,135,,,0.274818,3.945002,74,Leaf
155,155_28,148,,,0.228715,4.430522,28,Leaf
156,156_52,148,159,160,0.113237,4.315044,52,Speciation
157,157_74,153,,,0.214319,3.945002,74,Leaf
158,158_74,153,,,0.214319,3.945002,74,Leaf
159,159_27,156,,,0.115478,4.430522,27,Leaf
160,160_21,156,,,0.115478,4.430522,21,Leaf
