node_id,name,parent,left_child,right_child,length,depth,species_node,event
0,0_0,,1,2,0.000000,0.000000,,Speciation
1,1_1,0,3,4,0.484384,0.484384,,Speciation
2,2_436,0,,,4.240276,4.240276,t200,Leaf
3,3_2,1,5,6,0.137764,0.622148,,Speciation
4,4_433,1,7,8,0.183279,0.667663,,Speciation
5,5_3,3,9,10,2.155933,2.778081,,Speciation
6,6_34,3,11,12,0.130195,0.752343,,Duplication
7,7_434,4,,,0.403382,1.071045,t131,Leaf
8,8_435,4,,,3.437823,4.105486,t167,Leaf
9,9_4,5,13,14,0.230402,3.008482,,Speciation
10,10_33,5,,,0.671604,3.449685,t72,Leaf
11,11_34,6,15,16,0.132647,0.884990,,Duplication
12,12_34,6,17,18,0.673013,1.425356,,Speciation
13,13_5,9,19,20,0.985230,3.993712,,Speciation
14,14_30,9,21,22,0.184730,3.193212,,Speciation
15,15_34,11,23,24,0.540366,1.425356,,Speciation
16,16_34,11,25,26,0.540366,1.425356,,Speciation
17,17_35,12,27,28,0.309045,1.734401,,Speciation
18,18_46,12,29,30,0.190989,1.616345,,Speciation
19,19_6,13,31,32,0.835943,4.829655,,Speciation
20,20_29,13,,,2.590961,6.584673,t89,Leaf
21,21_31,14,,,0.304176,3.497388,t141,Leaf
22,22_32,14,,,1.092748,4.285961,t102,Leaf
23,23_35,15,33,34,0.309045,1.734401,,Speciation
24,24_46,15,35,36,0.190989,1.616345,,Speciation
25,25_35,16,37,38,0.309045,1.734401,,Speciation
26,26_46,16,39,40,0.190989,1.616345,,Speciation
27,27_36,17,41,42,0.154260,1.888662,,Speciation
28,28_45,17,,,0.560555,2.294957,t78,Leaf
29,29_47,18,43,44,0.638786,2.255131,,Speciation
30,30_420,18,45,46,0.494887,2.111232,,Speciation
31,31_7,19,47,48,0.973557,5.803212,,Speciation
32,32_14,19,49,50,4.371529,9.201184,,Speciation
33,33_36,23,51,52,0.154260,1.888662,,Speciation
34,34_45,23,,,0.560555,2.294957,t78,Leaf
35,35_47,24,53,54,0.638786,2.255131,,Speciation
36,36_420,24,55,56,0.494887,2.111232,,Speciation
37,37_36,25,57,58,0.154260,1.888662,,Speciation
38,38_45,25,,,0.560555,2.294957,t78,Leaf
39,39_47,26,59,60,0.638786,2.255131,,Speciation
40,40_420,26,61,62,0.494887,2.111232,,Speciation
41,41_37,27,,,0.725653,2.614315,t49,Leaf
42,42_38,27,63,64,1.000821,2.889483,,Speciation
43,43_48,29,65,66,1.279535,3.534666,,Speciation
44,44_341,29,67,68,0.733378,2.988509,,Speciation
45,45_421,30,,,2.173526,4.284758,t135,Leaf
46,46_422,30,69,70,5.242313,7.353544,,Speciation
47,47_8,31,71,72,0.074704,5.877916,,Speciation
48,48_13,31,,,0.418335,6.221547,t152,Leaf
49,49_15,32,73,74,0.073450,9.274634,,Speciation
50,50_22,32,75,76,1.523098,10.724282,,Speciation
51,51_37,33,,,0.725653,2.614315,t49,Leaf
52,52_38,33,77,78,0.693571,2.582232,,Transfer
53,53_48,35,79,80,1.279535,3.534666,,Speciation
54,54_341,35,81,82,0.733378,2.988509,,Speciation
55,55_421,36,83,84,0.641412,2.752644,t135,Transfer
56,56_422,36,85,86,3.728196,5.839428,,Duplication
57,57_37,37,,,0.725653,2.614315,t49,Leaf
58,58_38,37,87,88,1.000821,2.889483,,Speciation
59,59_48,39,89,90,1.279535,3.534666,,Speciation
60,60_341,39,91,92,0.733378,2.988509,,Speciation
61,61_421,40,93,94,1.782955,3.894187,t135,Transfer
62,62_422,40,95,96,5.242313,7.353544,,Speciation
63,63_39,42,,,2.293668,5.183151,t155,Leaf
64,64_40,42,97,98,0.964514,3.853997,,Speciation
65,65_49,43,99,100,0.103471,3.638137,,Speciation
66,66_340,43,,,0.987603,4.522269,t60,Leaf
67,67_342,44,101,102,0.663787,3.652296,,Speciation
68,68_355,44,103,104,0.618443,3.606952,,Speciation
69,69_423,46,105,106,1.413817,8.767361,t142,Duplication
70,70_424,46,107,108,0.746196,8.099741,,Speciation
71,71_9,47,109,110,1.034889,6.912806,,Speciation
72,72_12,47,,,0.183653,6.061569,t41,Leaf
73,73_16,49,111,112,0.856629,10.131263,,Speciation
74,74_21,49,,,1.898037,11.172671,t183,Leaf
75,75_23,50,113,114,1.058109,11.782391,,Speciation
76,76_26,50,115,116,1.394765,12.119047,,Speciation
77,77_38,52,117,118,0.307251,2.889483,,Speciation
78,78_48,52,119,120,0.952434,3.534666,,Speciation
79,79_49,53,121,122,0.103471,3.638137,,Speciation
80,80_340,53,,,0.987603,4.522269,t60,Leaf
81,81_342,54,123,124,0.663787,3.652296,,Speciation
82,82_355,54,125,126,0.618443,3.606952,,Speciation
83,83_421,55,,,1.532114,4.284758,t135,Leaf
84,84_436,55,,,1.487632,4.240276,t200,Leaf
85,85_422,56,127,128,1.514116,7.353544,,Speciation
86,86_422,56,129,130,1.514116,7.353544,,Speciation
87,87_39,58,,,2.293668,5.183151,t155,Leaf
88,88_40,58,131,132,0.964514,3.853997,,Speciation
89,89_49,59,133,134,0.103471,3.638137,,Speciation
90,90_340,59,,,0.987603,4.522269,t60,Leaf
91,91_342,60,135,136,0.663787,3.652296,,Speciation
92,92_355,60,137,138,0.618443,3.606952,,Speciation
93,93_421,61,,,0.390571,4.284758,t135,Leaf
94,94_436,61,,,0.346089,4.240276,t200,Leaf
95,95_423,62,139,140,0.463249,7.816794,t142,Transfer
96,96_424,62,141,142,0.746196,8.099741,,Speciation
97,97_41,64,143,144,1.425835,5.279832,,Speciation
98,98_44,64,,,0.067380,3.921377,t64,Leaf
99,99_50,65,145,146,1.628494,5.266631,,Speciation
100,100_117,65,147,148,0.495278,4.133415,,Speciation
101,101_343,67,,,2.974401,6.626697,t120,Leaf
102,102_344,67,149,150,1.306519,4.958815,,Speciation
103,103_356,68,,,0.168185,3.775137,t79,Leaf
104,104_357,68,151,152,1.628235,5.235187,,Speciation
105,105_423,69,,,0.765236,9.532597,t142,Leaf
106,106_423,69,,,0.765236,9.532597,t142,Leaf
107,107_425,70,153,154,2.773408,10.873149,,Speciation
108,108_432,70,,,1.656887,9.756628,t198,Leaf
109,109_10,71,,,0.834271,7.747077,t172,Leaf
110,110_11,71,,,0.555492,7.468297,t111,Leaf
111,111_17,73,155,156,2.261680,12.392943,,Speciation
112,112_20,73,,,1.046144,11.177407,t176,Leaf
113,113_24,75,,,0.741171,12.523562,t123,Leaf
114,114_25,75,,,0.741171,12.523562,t211,Leaf
115,115_27,76,,,0.404515,12.523562,t181,Leaf
116,116_28,76,,,0.404515,12.523562,t194,Leaf
117,117_39,77,,,2.293668,5.183151,t155,Leaf
118,118_40,77,157,158,0.964514,3.853997,,Speciation
119,119_49,78,159,160,0.103471,3.638137,,Speciation
120,120_340,78,,,0.987603,4.522269,t60,Leaf
121,121_50,79,161,162,1.628494,5.266631,,Speciation
122,122_117,79,163,164,0.495278,4.133415,,Speciation
123,123_343,81,,,2.974401,6.626697,t120,Leaf
124,124_344,81,165,166,1.306519,4.958815,,Speciation
125,125_356,82,,,0.168185,3.775137,t79,Leaf
126,126_357,82,167,168,1.602061,5.209013,,Transfer
127,127_423,85,,,2.179052,9.532597,t142,Leaf
128,128_424,85,169,170,0.746196,8.099741,,Speciation
129,129_423,86,,,2.179052,9.532597,t142,Leaf
130,130_424,86,171,172,0.746196,8.099741,,Speciation
131,131_41,88,173,174,1.425835,5.279832,,Speciation
132,132_44,88,,,0.067380,3.921377,t64,Leaf
133,133_50,89,175,176,1.628494,5.266631,,Speciation
134,134_117,89,177,178,0.495278,4.133415,,Speciation
135,135_343,91,179,180,2.512757,6.165053,t120,Duplication
136,136_344,91,181,182,1.306519,4.958815,,Speciation
137,137_356,92,,,0.168185,3.775137,t79,Leaf
138,138_357,92,183,184,1.628235,5.235187,,Speciation
139,139_423,95,,,1.715803,9.532597,t142,Leaf
140,140_291,95,185,186,0.956974,8.773767,,Speciation
141,141_425,96,187,188,2.773408,10.873149,,Speciation
142,142_432,96,,,1.656887,9.756628,t198,Leaf
143,143_42,97,189,190,2.645456,7.925288,t219,Duplication
144,144_43,97,,,0.207022,5.486854,t199,Leaf
145,145_51,99,191,192,1.919342,7.185973,,Speciation
146,146_116,99,,,0.126501,5.393132,t18,Leaf
147,147_118,100,193,194,0.535856,4.669271,,Speciation
148,148_321,100,195,196,1.439124,5.572539,,Speciation
149,149_345,102,,,3.790001,8.748816,t92,Leaf
150,150_346,102,197,198,2.021806,6.980621,,Duplication
151,151_358,104,199,200,0.045992,5.281179,,Duplication
152,152_379,104,201,202,1.816993,7.052180,,Speciation
153,153_426,107,203,204,1.469482,12.342630,,Speciation
154,154_431,107,,,0.267200,11.140349,t8,Leaf
155,155_18,111,,,0.130619,12.523562,t3,Leaf
156,156_19,111,,,0.130619,12.523562,t21,Leaf
157,157_41,118,205,206,1.425835,5.279832,,Speciation
158,158_44,118,,,0.067380,3.921377,t64,Leaf
159,159_50,119,207,208,1.628494,5.266631,,Speciation
160,160_117,119,209,210,0.495278,4.133415,,Speciation
161,161_51,121,211,212,1.084057,6.350688,,Duplication
162,162_116,121,,,0.126501,5.393132,t18,Leaf
163,163_118,122,213,214,0.535856,4.669271,,Speciation
164,164_321,122,215,216,1.439124,5.572539,,Speciation
165,165_345,124,217,218,0.806390,5.765205,t92,Transfer
166,166_346,124,219,220,2.921469,7.880284,,Speciation
167,167_357,126,221,222,0.026174,5.235187,,Speciation
168,168_41,126,223,224,0.070819,5.279832,,Speciation
169,169_425,128,225,226,1.732960,9.832701,,Duplication
170,170_432,128,,,1.656887,9.756628,t198,Leaf
171,171_425,130,227,228,2.773408,10.873149,,Speciation
172,172_432,130,,,1.656887,9.756628,t198,Leaf
173,173_42,131,,,4.954224,10.234056,t219,Leaf
174,174_43,131,,,0.207022,5.486854,t199,Leaf
175,175_51,133,229,230,1.919342,7.185973,,Speciation
176,176_116,133,,,0.126501,5.393132,t18,Leaf
177,177_118,134,231,232,0.535856,4.669271,,Speciation
178,178_321,134,233,234,1.439124,5.572539,,Speciation
179,179_343,135,,,0.461644,6.626697,t120,Leaf
180,180_343,135,,,0.461644,6.626697,t120,Leaf
181,181_345,136,,,3.790001,8.748816,t92,Leaf
182,182_346,136,235,236,2.921469,7.880284,,Speciation
183,183_358,138,237,238,0.631650,5.866836,,Speciation
184,184_379,138,239,240,1.816993,7.052180,,Speciation
185,185_292,140,241,242,0.546217,9.319984,,Duplication
186,186_297,140,243,244,0.756241,9.530008,t99,Duplication
187,187_426,141,245,246,1.469482,12.342630,,Speciation
188,188_431,141,,,0.267200,11.140349,t8,Leaf
189,189_42,143,,,2.308768,10.234056,t219,Leaf
190,190_42,143,,,2.308768,10.234056,t219,Leaf
191,191_52,145,247,248,0.858288,8.044260,,Speciation
192,192_63,145,249,250,0.432861,7.618833,,Speciation
193,193_119,147,,,0.497504,5.166774,t38,Leaf
194,194_120,147,251,252,0.042211,4.711482,,Speciation
195,195_322,148,253,254,0.145697,5.718236,,Speciation
196,196_339,148,,,1.878284,7.450823,t129,Leaf
197,197_346,150,255,256,0.899663,7.880284,,Speciation
198,198_346,150,257,258,0.899663,7.880284,,Speciation
199,199_358,151,259,260,0.585657,5.866836,,Speciation
200,200_358,151,261,262,0.585657,5.866836,,Speciation
201,201_380,152,263,264,0.615150,7.667331,,Speciation
202,202_419,152,,,1.398282,8.450462,t132,Leaf
203,203_427,153,,,0.180931,12.523562,t73,Leaf
204,204_428,153,265,266,0.038727,12.381358,,Speciation
205,205_42,157,,,4.954224,10.234056,t219,Leaf
206,206_43,157,,,0.207022,5.486854,t199,Leaf
207,207_51,159,267,268,0.256769,5.523400,,Transfer
208,208_116,159,,,0.126501,5.393132,t18,Leaf
209,209_118,160,269,270,0.535856,4.669271,,Speciation
210,210_321,160,271,272,1.439124,5.572539,,Speciation
211,211_51,161,273,274,0.835285,7.185973,,Speciation
212,212_51,161,275,276,0.835285,7.185973,,Speciation
213,213_119,163,,,0.497504,5.166774,t38,Leaf
